name;sub_name;dimension;minimum;maximum
Fuss und Rad;/nmt/s_bicycle;n_zones x n_zones;;
Fuss und Rad;/nmt/s_foot;n_zones x n_zones;;
Fuss und Rad;/nmt/t_bicycle;n_zones x n_zones;;
Fuss und Rad;/nmt/t_foot;n_zones x n_zones;;
MIV;/iv/cost_car;n_zones x n_zones;;
MIV;/iv/cost_passenger;n_zones x n_zones;;
MIV;/visum/Fahrweite;n_zones x n_zones;;
MIV;/visum/t0;n_zones x n_zones;;
MIV;/visum/tAkt;n_zones x n_zones;;
OV;/tarif_relationen;n_zones;;
OV;/put/cost_put;n_time_series x n_zones x n_zones;;
OV;/put/no_connection;n_time_series x n_zones x n_zones;;
OV;/put/share_bus;n_time_series x n_zones x n_zones;;
OV;/put/start_waiting_time;n_time_series x n_zones x n_zones;;
OV;/put/walk_time;n_time_series x n_zones x n_zones;;
OV;/visum/Abgangszeit;n_time_series x n_zones x n_zones;;
OV;/visum/Anzahl Tarifzonen;n_time_series x n_zones x n_zones;;
OV;/visum/Bedienungshaufigkeit;n_time_series x n_zones x n_zones;;
OV;/visum/Fahrpreis;n_time_series x n_zones x n_zones;;
OV;/visum/Fahrweite;n_time_series x n_zones x n_zones;;
OV;/visum/FahrzeitimFahrzeug;n_time_series x n_zones x n_zones;;
OV;/visum/Reisezeit;n_time_series x n_zones x n_zones;;
OV;/visum/Umsteigegehzeit;n_time_series x n_zones x n_zones;;
OV;/visum/Umsteigehaufigkeit;n_time_series x n_zones x n_zones;;
OV;/visum/Umsteigewartezeit;n_time_series x n_zones x n_zones;;
OV;/visum/Zugangszeit;n_time_series x n_zones x n_zones;;
OV;/visum/in_vehicle_time_ast;n_time_series x n_zones x n_zones;;
OV;/visum/in_vehicle_time_bus;n_time_series x n_zones x n_zones;;
Betas;/coefficients/offset_ls_a;1;;
Params;/activities/activitypair_time_series;n_activity_pairs x 24;;
Zonen;/zones/access_egress;1;;
