resource_name;subdivision;column_name;type;minimum;maximum;is_primary_key
Fuss und Rad;/Bezirke;zone_no;int32;;;0
Fuss und Rad;/Bezirke;name;|S255;;;0
Fuss und Rad;/fuss_long;vonVZNr;int32;;;0
Fuss und Rad;/fuss_long;nachVZNr;int32;;;0
Fuss und Rad;/fuss_long;Fuss_Min;float32;;;0
Fuss und Rad;/fuss_long;Fuss_Meter;float32;;;0
Fuss und Rad;/rad_long;vonVZNr;int32;;;0
Fuss und Rad;/rad_long;nachVZNr;int32;;;0
Fuss und Rad;/rad_long;Rad_Min;float32;;;0
Fuss und Rad;/rad_long;Rad_Meter;float32;;;0
MIV;/Bezirke;zone_no;int32;;;0
MIV;/Bezirke;zone_name;|S255;;;0
OV;/Bezirke;zone_no;int32;;;0
OV;/Bezirke;zone_name;|S255;;;0
Betas;/coefficients/betas;code;|S22;;;0
Betas;/coefficients/betas;value;float64;;;0
Konstanten;/constants;code;|S50;;;0
Konstanten;/constants;value;float32;;;0
Params;/activities/activities;code;|S1;;;0
Params;/activities/activities;name;|S30;;;0
Params;/activities/activities;potential;|S55;;;0
Params;/activities/activities;balance;int8;;;0
Params;/activities/activities;rank;int32;;;0
Params;/activities/activity_parking;park_zone;int32;;;0
Params;/activities/activity_parking;A;float32;;;0
Params;/activities/activity_parking;B;float32;;;0
Params;/activities/activity_parking;E;float32;;;0
Params;/activities/activity_parking;F;float32;;;0
Params;/activities/activity_parking;G;float32;;;0
Params;/activities/activity_parking;K;float32;;;0
Params;/activities/activity_parking;M;float32;;;0
Params;/activities/activity_parking;O;float32;;;0
Params;/activities/activity_parking;R;float32;;;0
Params;/activities/activity_parking;S;float32;;;0
Params;/activities/activity_parking;T;float32;;;0
Params;/activities/activity_parking;U;float32;;;0
Params;/activities/activity_parking;V;float32;;;0
Params;/activities/activity_parking;W;float32;;;0
Params;/activities/activity_parking;Z;float32;;;0
Params;/activities/activitypairs;code;|S2;;;0
Params;/activities/activitypairs;idx;int32;;;0
Params;/activities/time_series;code;|S8;;;0
Params;/activities/time_series;name;|S30;;;0
Params;/activities/time_series;from_hour;int8;;;0
Params;/activities/time_series;to_hour;int8;;;0
Params;/activities/time_series;type;|S8;;;0
Params;/activities/time_series;time_slice_durations;float32;;;0
Params;/activities/trip_chain_rates;group;|S20;;;0
Params;/activities/trip_chain_rates;code;|S20;;;0
Params;/activities/trip_chain_rates;rate;float64;;;0
Params;/activities/validation_activities;code;|S15;;;0
Params;/activities/validation_activities;mean_trip_length;float32;;;0
Params;/activities/validation_activities;F;float32;;;0
Params;/activities/validation_activities;R;float32;;;0
Params;/activities/validation_activities;O;float32;;;0
Params;/activities/validation_activities;M;float32;;;0
Params;/activities/validation_activities;P;float32;;;0
Params;/groups/groups_calibration;group_def;|S30;;;0
Params;/groups/groups_calibration;name;|S30;;;0
Params;/groups/groups_calibration;code_long;|S25;;;0
Params;/groups/groups_calibration;code;|S5;;;0
Params;/groups/groups_calibration;is_group;int8;;;0
Params;/groups/groups_calibration;is_aggregation;int8;;;0
Params;/groups/groups_calibration;hard_margin;int8;;;0
Params;/groups/groups_calibration;F;int8;;;0
Params;/groups/groups_calibration;R;int8;;;0
Params;/groups/groups_calibration;O;int8;;;0
Params;/groups/groups_calibration;M;int8;;;0
Params;/groups/groups_calibration;P;int8;;;0
Params;/groups/groups_dest_mode;idx;int32;;;0
Params;/groups/groups_dest_mode;code;|S30;;;0
Params;/groups/groups_dest_mode;name;|S30;;;0
Params;/groups/groups_dest_mode;car_availability;|S15;;;0
Params;/groups/groups_dest_mode;occupation;|S30;;;0
Params;/groups/groups_dest_mode;total;|S15;;;0
Params;/groups/groups_dest_mode;in_commuter;int8;;;0
Params;/groups/groups_generation;code;|S55;;;0
Params;/groups/groups_generation;group_dest_mode;|S30;;;0
Params;/groups/groups_generation;group_generation;|S30;;;0
Params;/groups/groups_generation;activity;|S1;;;0
Params;/groups/groups_pkwverf;code;|S15;;;0
Params;/groups/groups_pkwverf;F;int8;;;0
Params;/groups/groups_pkwverf;R;int8;;;0
Params;/groups/groups_pkwverf;O;int8;;;0
Params;/groups/groups_pkwverf;M;int8;;;0
Params;/groups/groups_pkwverf;P;int8;;;0
Params;/groups/validation_mode;group_def;|S30;;;0
Params;/groups/validation_mode;group;|S30;;;0
Params;/groups/validation_mode;persons;float32;;;0
Params;/groups/validation_mode;trips;float32;;;0
Params;/groups/validation_mode;mean_trip_distance;float32;;;0
Params;/groups/validation_mode;F;float32;;;0
Params;/groups/validation_mode;R;float32;;;0
