resource_name;subdivision;n_rows
Fuss und Rad;/Bezirke;n_zones
Fuss und Rad;/fuss_long;320356
Fuss und Rad;/rad_long;320356
MIV;/Bezirke;n_zones
OV;/Bezirke;n_zones
Betas;/coefficients/betas;170
Konstanten;/constants;2
Params;/activities/activities;15
Params;/activities/activity_parking;3
Params;/activities/activitypairs;
Params;/activities/time_series;
Params;/activities/trip_chain_rates;1236
Params;/activities/validation_activities;15
Params;/groups/groups_calibration;5
Params;/groups/groups_dest_mode;30
Params;/groups/groups_generation;63
Params;/groups/groups_pkwverf;3
Params;/groups/validation_mode;13
Params;/modes/modes;5
Zonen;/activities/activity_kf;n_zones
Zonen;/activities/attraction;n_zones
Zonen;/groups/production;n_zones
Zonen;/zones/binnenreisezeiten;n_zones
Zonen;/zones/zones;
Zonen;/zones/zuordnung_alt_neu;27
